adm_cd,adm_nm,선거관리위원회 동이름,특이사항
3203062,강원도 강릉시 강남동,강원도 강릉시 강남동,
3203034,강원도 강릉시 강동면,강원도 강릉시 강동면,
3203067,강원도 강릉시 경포동,강원도 강릉시 경포동,
3203055,강원도 강릉시 교1동,강원도 강릉시 교1동,
3203056,강원도 강릉시 교2동,강원도 강릉시 교2동,
3203033,강원도 강릉시 구정면,강원도 강릉시 구정면,
3203061,강원도 강릉시 내곡동,강원도 강릉시 내곡동,
3203036,강원도 강릉시 사천면,강원도 강릉시 사천면,
3203065,강원도 강릉시 성덕동,강원도 강릉시 성덕동,
3203031,강원도 강릉시 성산면,강원도 강릉시 성산면,
3203060,강원도 강릉시 송정동,강원도 강릉시 송정동,
3203037,강원도 강릉시 연곡면,강원도 강릉시 연곡면,
3203035,강원도 강릉시 옥계면,강원도 강릉시 옥계면,
3203054,강원도 강릉시 옥천동,강원도 강릉시 옥천동,
3203032,강원도 강릉시 왕산면,강원도 강릉시 왕산면,
3203011,강원도 강릉시 주문진읍,강원도 강릉시 주문진읍,
3203052,강원도 강릉시 중앙동,강원도 강릉시 중앙동,
3203059,강원도 강릉시 초당동,강원도 강릉시 초당동,
3203057,강원도 강릉시 포남1동,강원도 강릉시 포남1동,
3203058,강원도 강릉시 포남2동,강원도 강릉시 포남2동,
3203051,강원도 강릉시 홍제동,강원도 강릉시 홍제동,
3240011,강원도 고성군 간성읍,강원도 고성군 간성읍,
3240012,강원도 고성군 거진읍,강원도 고성군 거진읍,
3240032,강원도 고성군 죽왕면,강원도 고성군 죽왕면,
3240033,강원도 고성군 토성면,강원도 고성군 토성면,
3240031,강원도 고성군 현내면,강원도 고성군 현내면,
3204055,강원도 동해시 동호동,강원도 동해시 동호동,
3204063,강원도 동해시 망상동,강원도 동해시 망상동,
3204059,강원도 동해시 묵호동,강원도 동해시 묵호동,
3204057,강원도 동해시 발한동,강원도 동해시 발한동,
3204054,강원도 동해시 부곡동,강원도 동해시 부곡동,
3204053,강원도 동해시 북삼동,강원도 동해시 북삼동,
