admcd	admnm	sido	sgg	emd	sidosgg	sggemd	x	y
1101053	서울특별시 종로구 사직동	서울특별시	종로구	사직동	서울특별시 종로구	종로구 사직동	953277	1952800
1101054	서울특별시 종로구 삼청동	서울특별시	종로구	삼청동	서울특별시 종로구	종로구 삼청동	954295	1954196
1101055	서울특별시 종로구 부암동	서울특별시	종로구	부암동	서울특별시 종로구	종로구 부암동	952832	1955240
1101056	서울특별시 종로구 평창동	서울특별시	종로구	평창동	서울특별시 종로구	종로구 평창동	953121	1957311
1101057	서울특별시 종로구 무악동	서울특별시	종로구	무악동	서울특별시 종로구	종로구 무악동	952217	1953271
1101058	서울특별시 종로구 교남동	서울특별시	종로구	교남동	서울특별시 종로구	종로구 교남동	952643	1952549
1101060	서울특별시 종로구 가회동	서울특별시	종로구	가회동	서울특별시 종로구	종로구 가회동	954644	1954007
1101061	서울특별시 종로구 종로1·2·3·4가동	서울특별시	종로구	종로1·2·3·4가동	서울특별시 종로구	종로구 종로1·2·3·4가동	955244	1953290
1101063	서울특별시 종로구 종로5·6가동	서울특별시	종로구	종로5·6가동	서울특별시 종로구	종로구 종로5·6가동	956168	1952770
1101064	서울특별시 종로구 이화동	서울특별시	종로구	이화동	서울특별시 종로구	종로구 이화동	956088	1953507
1101067	서울특별시 종로구 창신1동	서울특별시	종로구	창신1동	서울특별시 종로구	종로구 창신1동	957087	1952828
1101068	서울특별시 종로구 창신2동	서울특별시	종로구	창신2동	서울특별시 종로구	종로구 창신2동	956747	1953072
1101069	서울특별시 종로구 창신3동	서울특별시	종로구	창신3동	서울특별시 종로구	종로구 창신3동	957030	1953276
1101070	서울특별시 종로구 숭인1동	서울특별시	종로구	숭인1동	서울특별시 종로구	종로구 숭인1동	957341	1953266
1101071	서울특별시 종로구 숭인2동	서울특별시	종로구	숭인2동	서울특별시 종로구	종로구 숭인2동	957717	1952884
1101072	서울특별시 종로구 청운효자동	서울특별시	종로구	청운효자동	서울특별시 종로구	종로구 청운효자동	953096	1954021
1101073	서울특별시 종로구 혜화동	서울특별시	종로구	혜화동	서울특별시 종로구	종로구 혜화동	955850	1954240
1102052	서울특별시 중구 소공동	서울특별시	중구	소공동	서울특별시 중구	중구 소공동	953640	1951837
1102054	서울특별시 중구 회현동	서울특별시	중구	회현동	서울특별시 중구	중구 회현동	953727	1950939
1102055	서울특별시 중구 명동	서울특별시	중구	명동	서울특별시 중구	중구 명동	954587	1951497
1102057	서울특별시 중구 필동	서울특별시	중구	필동	서울특별시 중구	중구 필동	955358	1950941
1102058	서울특별시 중구 장충동	서울특별시	중구	장충동	서울특별시 중구	중구 장충동	956139	1950782
1102059	서울특별시 중구 광희동	서울특별시	중구	광희동	서울특별시 중구	중구 광희동	956456	1951918
1102060	서울특별시 중구 을지로동	서울특별시	중구	을지로동	서울특별시 중구	중구 을지로동	955605	1952008
1102065	서울특별시 중구 신당5동	서울특별시	중구	신당5동	서울특별시 중구	중구 신당5동	957845	1951652
1102067	서울특별시 중구 황학동	서울특별시	중구	황학동	서울특별시 중구	중구 황학동	957673	1952167
1102068	서울특별시 중구 중림동	서울특별시	중구	중림동	서울특별시 중구	중구 중림동	952839	1950962
1102069	서울특별시 중구 신당동	서울특별시	중구	신당동	서울특별시 중구	중구 신당동	957051	1951839
1102070	서울특별시 중구 다산동	서울특별시	중구	다산동	서울특별시 중구	중구 다산동	956567	1950748
1102071	서울특별시 중구 약수동	서울특별시	중구	약수동	서울특별시 중구	중구 약수동	956734	1950132
1102072	서울특별시 중구 청구동	서울특별시	중구	청구동	서울특별시 중구	중구 청구동	957189	1950962
1102073	서울특별시 중구 동화동	서울특별시	중구	동화동	서울특별시 중구	중구 동화동	957465	1951379
1103051	서울특별시 용산구 후암동	서울특별시	용산구	후암동	서울특별시 용산구	용산구 후암동	954175	1950235
1103052	서울특별시 용산구 용산2가동	서울특별시	용산구	용산2가동	서울특별시 용산구	용산구 용산2가동	954174	1949067
1103053	서울특별시 용산구 남영동	서울특별시	용산구	남영동	서울특별시 용산구	용산구 남영동	953384	1949631
1103057	서울특별시 용산구 원효로2동	서울특별시	용산구	원효로2동	서울특별시 용산구	용산구 원효로2동	951472	1948281
1103058	서울특별시 용산구 효창동	서울특별시	용산구	효창동	서울특별시 용산구	용산구 효창동	952407	1949574
1103059	서울특별시 용산구 용문동	서울특별시	용산구	용문동	서울특별시 용산구	용산구 용문동	952154	1948887
1103063	서울특별시 용산구 이촌1동	서울특별시	용산구	이촌1동	서울특별시 용산구	용산구 이촌1동	953247	1946614
