adm_nm	adm_cd	adm_cd2	sgg	sido	sidonm	sgg_emd	adm_cd8	sggnm	emd_nm	ELEC_CD	ELEC_SIDO	ELEC_GU	ELEC_EMD
서울특별시 종로구 청운효자동	1101072	1111051500	11110	11	서울특별시	종로구 청운효자동	11010720	종로구	청운효자동	110101	서울특별시	종로구	청운효자동
서울특별시 종로구 사직동	1101053	1111053000	11110	11	서울특별시	종로구 사직동	11010530	종로구	사직동	110103	서울특별시	종로구	사직동
서울특별시 종로구 삼청동	1101054	1111054000	11110	11	서울특별시	종로구 삼청동	11010540	종로구	삼청동	110104	서울특별시	종로구	삼청동
서울특별시 종로구 부암동	1101055	1111055000	11110	11	서울특별시	종로구 부암동	11010550	종로구	부암동	110105	서울특별시	종로구	부암동
서울특별시 종로구 평창동	1101056	1111056000	11110	11	서울특별시	종로구 평창동	11010560	종로구	평창동	110106	서울특별시	종로구	평창동
서울특별시 종로구 무악동	1101057	1111057000	11110	11	서울특별시	종로구 무악동	11010570	종로구	무악동	110107	서울특별시	종로구	무악동
서울특별시 종로구 교남동	1101058	1111058000	11110	11	서울특별시	종로구 교남동	11010580	종로구	교남동	110108	서울특별시	종로구	교남동
서울특별시 종로구 가회동	1101060	1111060000	11110	11	서울특별시	종로구 가회동	11010600	종로구	가회동	110109	서울특별시	종로구	가회동
서울특별시 종로구 종로1·2·3·4가동	1101061	1111061500	11110	11	서울특별시	종로구 종로1·2·3·4가동	11010610	종로구	종로1·2·3·4가동	110110	서울특별시	종로구	종로1·2·3·4가동
서울특별시 종로구 종로5·6가동	1101063	1111063000	11110	11	서울특별시	종로구 종로5·6가동	11010630	종로구	종로5·6가동	110111	서울특별시	종로구	종로5·6가동
서울특별시 종로구 이화동	1101064	1111064000	11110	11	서울특별시	종로구 이화동	11010640	종로구	이화동	110112	서울특별시	종로구	이화동
서울특별시 종로구 혜화동	1101073	1111065000	11110	11	서울특별시	종로구 혜화동	11010730	종로구	혜화동	110113	서울특별시	종로구	혜화동
서울특별시 종로구 창신1동	1101067	1111067000	11110	11	서울특별시	종로구 창신1동	11010670	종로구	창신1동	110115	서울특별시	종로구	창신제1동
서울특별시 종로구 창신2동	1101068	1111068000	11110	11	서울특별시	종로구 창신2동	11010680	종로구	창신2동	110116	서울특별시	종로구	창신제2동
서울특별시 종로구 창신3동	1101069	1111069000	11110	11	서울특별시	종로구 창신3동	11010690	종로구	창신3동	110117	서울특별시	종로구	창신제3동
서울특별시 종로구 숭인1동	1101070	1111070000	11110	11	서울특별시	종로구 숭인1동	11010700	종로구	숭인1동	110118	서울특별시	종로구	숭인제1동
서울특별시 종로구 숭인2동	1101071	1111071000	11110	11	서울특별시	종로구 숭인2동	11010710	종로구	숭인2동	110119	서울특별시	종로구	숭인제2동
서울특별시 중구 소공동	1102052	1114052000	11140	11	서울특별시	중구 소공동	11020520	중구	소공동	110201	서울특별시	중구	소공동
서울특별시 중구 회현동	1102054	1114054000	11140	11	서울특별시	중구 회현동	11020540	중구	회현동	110202	서울특별시	중구	회현동
서울특별시 중구 명동	1102055	1114055000	11140	11	서울특별시	중구 명동	11020550	중구	명동	110203	서울특별시	중구	명동
서울특별시 중구 필동	1102057	1114057000	11140	11	서울특별시	중구 필동	11020570	중구	필동	110204	서울특별시	중구	필동
서울특별시 중구 장충동	1102058	1114058000	11140	11	서울특별시	중구 장충동	11020580	중구	장충동	110205	서울특별시	중구	장충동
서울특별시 중구 광희동	1102059	1114059000	11140	11	서울특별시	중구 광희동	11020590	중구	광희동	110206	서울특별시	중구	광희동
서울특별시 중구 을지로동	1102060	1114060500	11140	11	서울특별시	중구 을지로동	11020600	중구	을지로동	110207	서울특별시	중구	을지로동
서울특별시 중구 신당동	1102069	1114061500	11140	11	서울특별시	중구 신당동	11020690	중구	신당동	110208	서울특별시	중구	신당동
서울특별시 중구 다산동	1102070	1114062500	11140	11	서울특별시	중구 다산동	11020700	중구	다산동	110209	서울특별시	중구	다산동
서울특별시 중구 약수동	1102071	1114063500	11140	11	서울특별시	중구 약수동	11020710	중구	약수동	110210	서울특별시	중구	약수동
서울특별시 중구 청구동	1102072	1114064500	11140	11	서울특별시	중구 청구동	11020720	중구	청구동	110211	서울특별시	중구	청구동
서울특별시 중구 신당5동	1102065	1114065000	11140	11	서울특별시	중구 신당5동	11020650	중구	신당5동	110212	서울특별시	중구	신당제5동
서울특별시 중구 동화동	1102073	1114066500	11140	11	서울특별시	중구 동화동	11020730	중구	동화동	110213	서울특별시	중구	동화동
서울특별시 중구 황학동	1102067	1114067000	11140	11	서울특별시	중구 황학동	11020670	중구	황학동	110214	서울특별시	중구	황학동
