SIDO	SGG	EMD_ETC	읍면동명	투표구명	선거인수	투표수	더불어민주당 이재명	국민의힘 윤석열	정의당 심상정	기본소득당 오준호	국가혁명당 허경영	노동당 이백윤	새누리당 옥은호	신자유민주연합 김경재	우리공화당 조원진	진보당 김재연	통일한국당 이경희	한류연합당 김민찬	유효투표수	무효투표수	기권수
서울특별시	종로구	합계	합계		129,968	100,629	46,130	49,172	3,115	53	558	42	9	50	82	105	20	30	99,366	1,263	29,339
서울특별시	종로구	거소·선상투표	거소·선상투표		217	200	82	85	4	1	3	0	0	0	0	2	0	0	177	23	17
서울특별시	종로구	관외사전투표	관외사전투표		13,132	13,092	6,416	5,972	434	8	99	4	1	5	3	22	2	4	12,970	122	40
서울특별시	종로구	재외투표	재외투표		2,077	1,480	739	541	56	2	9	0	0	0	0	1	0	0	1,348	132	597
서울특별시	종로구	재외투표(공관)	재외투표(공관)		0	188	83	79	6	0	0	0	0	0	0	0	0	0	168	20	-188
서울특별시	종로구	청운효자동	청운효자동	소계	8,706	6,640	3,150	3,137	237	3	26	2	0	3	7	4	1	2	6,572	68	2,066
서울특별시	종로구	청운효자동		관내사전투표	3,102	3,098	1,758	1,221	81	2	8	1	0	0	4	1	1	1	3,078	20	4
서울특별시	종로구	청운효자동		청운효자동제1투	1,925	1,170	402	700	43	1	7	0	0	2	1	1	0	0	1,157	13	755
서울특별시	종로구	청운효자동		청운효자동제2투	1,792	1,155	436	637	61	0	3	0	0	1	0	1	0	1	1,140	15	637
서울특별시	종로구	청운효자동		청운효자동제3투	1,887	1,217	554	579	52	0	8	1	0	0	2	1	0	0	1,197	20	670
서울특별시	종로구	사직동	사직동	소계	7,651	5,850	2,260	3,282	212	3	22	0	1	2	4	4	0	0	5,790	60	1,801
서울특별시	종로구	사직동		관내사전투표	2,737	2,732	1,360	1,259	83	1	4	0	0	1	0	1	0	0	2,709	23	5
서울특별시	종로구	사직동		사직동제1투	1,555	823	317	451	32	0	9	0	0	0	2	1	0	0	812	11	732
서울특별시	종로구	사직동		사직동제2투	3,359	2,295	583	1,572	97	2	9	0	1	1	2	2	0	0	2,269	26	1,064
서울특별시	종로구	삼청동	삼청동	소계	1,935	1,443	591	767	51	0	10	0	0	3	3	0	0	0	1,425	18	492
서울특별시	종로구	삼청동		관내사전투표	717	716	376	299	25	0	5	0	0	0	1	0	0	0	706	10	1
서울특별시	종로구	삼청동		삼청동투표소	1,218	727	215	468	26	0	5	0	0	3	2	0	0	0	719	8	491
서울특별시	종로구	부암동	부암동	소계	7,205	5,485	2,496	2,731	154	0	26	4	0	4	0	4	1	2	5,422	63	1,720
서울특별시	종로구	부암동		관내사전투표	2,360	2,360	1,283	1,002	57	0	5	3	0	0	0	0	0	1	2,351	9	0
서울특별시	종로구	부암동		부암동제1투	1,761	1,028	406	556	32	0	7	1	0	0	0	2	1	0	1,005	23	733
서울특별시	종로구	부암동		부암동제2투	1,704	1,165	477	619	41	0	8	0	0	1	0	1	0	0	1,147	18	539
서울특별시	종로구	부암동		부암동제3투	1,380	932	330	554	24	0	6	0	0	3	0	1	0	1	919	13	448
서울특별시	종로구	평창동	평창동	소계	13,796	10,534	3,866	6,248	266	5	35	7	1	6	8	11	0	2	10,455	79	3,262
서울특별시	종로구	평창동		관내사전투표	4,411	4,411	2,011	2,253	104	2	5	3	1	2	2	4	0	1	4,388	23	0
서울특별시	종로구	평창동		평창동제1투	1,936	1,181	360	775	31	1	5	1	0	0	0	0	0	0	1,173	8	755
