ELEC_CD	ELEC_SIDO	ELEC_GU	ELEC_EMD	POPU_ALL	VOTER	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	VOTE_VAL	VOTE_INVAL	NON_VOTER
110101	서울특별시	종로구	청운효자동	8706	6640	3150	3137	237	3	26	2	0	3	7	4	1	2	6572	68	2066
110103	서울특별시	종로구	사직동	7651	5850	2260	3282	212	3	22	0	1	2	4	4	0	0	5790	60	1801
110104	서울특별시	종로구	삼청동	1935	1443	591	767	51	0	10	0	0	3	3	0	0	0	1425	18	492
110105	서울특별시	종로구	부암동	7205	5485	2496	2731	154	0	26	4	0	4	0	4	1	2	5422	63	1720
110106	서울특별시	종로구	평창동	13796	10534	3866	6248	266	5	35	7	1	6	8	11	0	2	10455	79	3262
110107	서울특별시	종로구	무악동	6143	4978	2162	2586	155	3	17	0	1	0	2	3	2	2	4933	45	1165
110108	서울특별시	종로구	교남동	7795	6215	2621	3276	193	3	28	1	0	2	9	11	2	1	6147	68	1580
110109	서울특별시	종로구	가회동	3454	2650	1252	1243	104	2	10	1	0	2	2	4	1	2	2623	27	804
110110	서울특별시	종로구	종로1·2·3·4가동	5741	3527	1468	1911	81	2	17	0	1	1	2	4	3	0	3490	37	2214
110111	서울특별시	종로구	종로5·6가동	4130	2906	1305	1460	76	0	23	0	0	1	2	0	0	2	2869	37	1224
110112	서울특별시	종로구	이화동	6154	4703	2279	2141	174	2	23	1	1	4	5	8	1	1	4640	63	1451
110113	서울특별시	종로구	혜화동	12828	9743	4400	4752	364	15	47	12	0	5	9	6	1	5	9616	127	3085
110115	서울특별시	종로구	창신제1동	5152	3907	2134	1580	90	0	37	2	1	1	6	4	2	2	3859	48	1245
110116	서울특별시	종로구	창신제2동	6071	4089	2262	1633	78	2	35	3	0	4	7	3	1	3	4031	58	1982
110117	서울특별시	종로구	창신제3동	5236	4067	2036	1848	109	1	16	1	0	4	3	3	0	0	4021	46	1169
110118	서울특별시	종로구	숭인제1동	4575	3286	1641	1489	84	1	26	1	1	2	1	1	1	0	3248	38	1289
110119	서울특별시	종로구	숭인제2동	7970	5605	2866	2394	185	0	49	3	1	1	9	10	2	2	5522	83	2365
110201	서울특별시	중구	소공동	1747	1296	489	734	50	1	6	2	0	0	0	3	1	0	1286	10	451
110202	서울특별시	중구	회현동	3883	2519	965	1460	50	0	15	2	0	2	3	0	0	0	2497	22	1364
110203	서울특별시	중구	명동	2150	1515	593	860	37	1	12	0	0	1	2	0	1	0	1507	8	635
110204	서울특별시	중구	필동	3998	3081	1396	1550	73	1	17	0	0	2	4	2	0	0	3045	36	917
110205	서울특별시	중구	장충동	3940	2902	1316	1437	81	2	26	0	0	1	2	2	0	1	2868	34	1038
110206	서울특별시	중구	광희동	3757	2435	928	1389	65	0	13	0	0	0	1	2	1	0	2399	36	1322
110207	서울특별시	중구	을지로동	1478	987	390	559	25	1	4	0	0	0	1	0	0	0	980	7	491
110208	서울특별시	중구	신당동	7063	5048	2400	2422	124	5	37	1	1	1	2	3	2	1	4999	49	2015
110209	서울특별시	중구	다산동	10155	7101	3350	3391	211	10	45	1	0	0	7	6	2	6	7029	72	3054
110210	서울특별시	중구	약수동	13658	10613	4561	5623	279	4	40	4	1	3	12	5	4	4	10540	73	3045
110211	서울특별시	중구	청구동	10615	8150	3605	4209	202	7	34	2	2	0	6	1	1	3	8072	78	2465
110212	서울특별시	중구	신당제5동	8626	6268	3043	2946	173	0	34	1	1	0	6	8	2	1	6215	53	2358
110213	서울특별시	중구	동화동	8177	6359	2818	3280	179	4	23	0	0	0	4	0	1	4	6313	46	1818
110214	서울특별시	중구	황학동	10175	7288	3380	3581	194	2	41	1	3	5	5	4	0	0	7216	72	2887
110215	서울특별시	중구	중림동	8899	6768	2957	3523	191	2	32	1	1	0	5	4	1	0	6717	51	2131
110301	서울특별시	용산구	후암동	13481	9953	4853	4642	290	3	50	5	0	2	6	8	6	0	9865	88	3528
110302	서울특별시	용산구	용산2가동	7867	5534	2623	2577	211	5	42	1	1	5	7	4	0	3	5479	55	2333
110303	서울특별시	용산구	남영동	6698	4404	2095	2040	142	5	44	2	1	3	4	11	1	1	4349	55	2294
110304	서울특별시	용산구	청파동	14261	9913	4920	4385	394	6	65	5	0	3	8	9	5	7	9807	106	4348
110306	서울특별시	용산구	원효로제1동	12787	10037	4104	5443	348	4	33	3	0	3	6	5	1	4	9954	83	2750
110307	서울특별시	용산구	원효로제2동	10135	7789	3334	4108	230	3	40	1	4	3	2	3	1	2	7731	58	2346
110308	서울특별시	용산구	효창동	8076	6423	2856	3276	193	1	28	1	0	1	2	4	0	1	6363	60	1653
110309	서울특별시	용산구	용문동	9790	7570	3464	3723	255	5	42	0	1	2	7	10	1	2	7512	58	2220
110310	서울특별시	용산구	한강로동	16116	12170	3795	7863	355	2	39	1	1	4	4	3	2	0	12069	101	3946
110313	서울특별시	용산구	이촌제1동	19821	15471	3666	11389	299	3	29	2	5	6	5	4	2	1	15411	60	4350
110314	서울특별시	용산구	이촌제2동	6556	5164	1955	3024	110	2	23	0	5	1	6	4	0	1	5131	33	1392
