sgg	SIDONM	SGGNM	POPU_ALL	VOTER	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	VOTE_VAL	VOTE_INVAL	NON_VOTER
11110	서울특별시	종로구	129968	100629	46130	49172	3115	53	558	42	9	50	82	105	20	30	99366	1263	29339
11140	서울특별시	중구	111448	84998	38244	42906	2310	46	463	19	10	17	67	57	17	28	84184	814	26450
11170	서울특별시	용산구	199077	152068	60063	85047	4374	67	755	37	24	56	86	100	27	46	150682	1386	47009
11200	서울특별시	성동구	252087	197240	84411	103880	5365	123	969	50	20	47	122	152	34	65	195238	2002	54847
11215	서울특별시	광진구	303582	235471	109922	113733	7072	155	1416	52	36	62	180	172	38	80	232918	2553	68111
11230	서울특별시	동대문구	300928	232106	108171	112890	6416	151	1304	44	32	55	184	232	80	78	229637	2469	68822
11260	서울특별시	중랑구	347108	260862	130381	118201	6899	156	1961	59	30	73	236	292	60	75	258423	2439	86246
11290	서울특별시	성북구	375880	292187	142702	135044	8952	169	1632	99	36	89	202	278	69	87	289359	2828	83693
11305	서울특별시	강북구	268974	199448	103333	86540	5245	135	1518	69	29	52	173	249	61	73	197477	1971	69526
11320	서울특별시	도봉구	281812	216036	106546	99780	5605	127	1457	53	46	48	136	239	41	77	214155	1881	65776
11350	서울특별시	노원구	441879	349297	169275	163340	10021	207	1933	76	46	96	242	449	76	112	345873	3424	92582
11380	서울특별시	은평구	417391	317971	161510	140666	9715	248	1934	117	49	71	252	293	76	89	315020	2951	99420
11410	서울특별시	서대문구	269615	210460	100702	98924	6886	119	1070	57	30	38	153	263	47	63	208352	2108	59155
11440	서울특별시	마포구	324091	256218	117916	124327	9308	180	1174	71	34	75	160	201	50	58	253554	2664	67873
11470	서울특별시	양천구	378710	301379	138586	149780	7821	169	1646	75	39	81	213	181	55	94	298740	2639	77331
11500	서울특별시	강서구	504185	390247	190000	181510	11100	242	2458	91	59	95	297	328	79	117	386376	3871	113938
11530	서울특별시	구로구	348156	272920	133027	127129	7539	159	1713	59	33	75	193	325	54	89	270395	2525	75236
11545	서울특별시	금천구	208786	157035	80208	69227	4278	106	1161	52	23	38	119	204	48	70	155534	1501	51751
11560	서울특별시	영등포구	334361	263581	116443	134846	7627	134	1324	72	34	58	198	239	39	65	261079	2502	70780
11590	서울특별시	동작구	342248	271510	122914	135733	7866	161	1380	56	35	85	140	221	51	66	268708	2802	70738
11620	서울특별시	관악구	446161	340773	169284	151944	11245	309	2594	110	35	103	246	310	98	116	336394	4379	105388
11650	서울특별시	서초구	344756	277878	88686	179472	5864	105	894	52	18	98	186	99	35	49	275558	2320	66878
11680	서울특별시	강남구	451970	354778	106865	235897	7020	130	1383	47	39	109	258	134	46	95	352023	2755	97192
11710	서울특별시	송파구	565840	453536	180490	255166	10652	196	2050	56	66	136	290	239	69	100	449510	4026	112304
11740	서울특별시	강동구	397634	313203	139172	160593	8029	182	1793	56	32	84	242	253	63	85	310584	2619	84431
26110	부산광역시	중구	38032	27408	9929	16153	600	9	349	7	5	6	24	21	13	10	27126	282	10624
26140	부산광역시	서구	94117	69786	25154	41470	1508	40	713	22	13	18	52	72	19	31	69112	674	24331
26170	부산광역시	동구	80399	59326	21558	35081	1190	28	665	19	8	24	56	64	23	34	58750	576	21073
26200	부산광역시	영도구	100073	71696	29565	39058	1368	41	712	26	18	13	55	125	29	36	71046	650	28377
26230	부산광역시	부산진구	313739	233474	89233	133285	5214	137	2423	59	30	52	216	350	68	97	231164	2310	80265
26260	부산광역시	동래구	232079	179768	65261	106515	4035	73	1683	41	28	47	147	245	31	68	178174	1594	52311
26290	부산광역시	남구	227098	173557	64361	101749	3652	64	1515	43	23	43	156	251	46	53	171956	1601	53541
26320	부산광역시	북구	246904	189125	74650	105576	4262	90	2065	63	37	47	198	204	51	114	187357	1768	57779
26350	부산광역시	해운대구	339847	259616	92631	156792	5068	118	2157	60	35	61	212	291	48	94	257567	2049	80231
26710	부산광역시	기장군	144027	106148	42955	58497	2253	54	1212	28	13	23	78	131	21	40	105305	843	37879
26380	부산광역시	사하구	268754	196600	78332	108983	4277	91	2304	49	34	45	156	254	62	102	194689	1911	72154
26410	부산광역시	금정구	201647	155206	54772	93283	3500	97	1397	38	29	45	147	234	51	71	153664	1542	46441
26440	부산광역시	강서구	112330	84488	36016	44889	1834	30	944	8	15	14	42	72	16	21	83901	587	27842
26470	부산광역시	연제구	180732	139351	51471	81889	3087	72	1198	19	16	31	108	209	20	44	138164	1187	41381
26500	부산광역시	수영구	156367	118017	41801	71160	2617	49	1017	22	21	28	104	104	27	40	116990	1027	38350
26530	부산광역시	사상구	185365	136658	54207	75692	3076	78	1636	42	27	30	116	172	50	87	135213	1445	48707
27110	대구광역시	중구	65964	51325	10913	38288	981	42	392	21	9	17	99	22	8	26	50818	507	14639
27140	대구광역시	동구	297312	232992	52170	171004	4522	111	2122	40	37	69	433	152	78	83	230821	2171	64320
27170	대구광역시	서구	149729	113904	19516	89620	1818	68	1172	28	20	22	236	79	57	46	112682	1222	35825
27200	대구광역시	남구	129711	97962	19765	73865	1784	87	977	68	24	37	199	49	17	36	96908	1054	31749
27230	대구광역시	북구	373173	294832	66469	215861	6090	155	2591	54	49	71	436	149	83	124	292132	2700	78341
27260	대구광역시	수성구	349945	285537	59379	216031	5168	132	1848	37	33	89	385	127	57	88	283374	2163	64408
27290	대구광역시	달서구	466792	368662	77951	275155	7361	180	3102	63	58	102	786	209	109	132	365208	3454	98130
27710	대구광역시	달성군	214088	166298	38882	120064	3407	117	1737	33	31	44	250	151	63	84	164863	1435	47790
28110	인천광역시	중구	121916	90125	43942	41805	2296	42	944	18	12	22	88	73	15	34	89291	834	31791
28140	인천광역시	동구	53909	40918	19195	19661	1196	32	346	11	4	6	44	48	17	19	40579	339	12991
28177	인천광역시	미추홀구	356862	253347	119287	121122	6951	154	2732	67	37	68	196	199	75	106	250994	2353	103515
28185	인천광역시	연수구	317609	250104	111446	127768	6812	120	1456	62	22	40	133	136	48	72	248115	1989	67505
28200	인천광역시	남동구	441525	329653	162476	150877	9232	215	2928	82	55	74	253	301	76	138	326707	2946	111872
28237	인천광역시	부평구	424164	316024	159280	141072	8977	194	2718	91	44	77	263	298	94	131	313239	2785	108140
28245	인천광역시	계양구	258741	193864	100532	83638	5502	124	1722	62	24	64	132	218	58	81	192157	1707	64877
28260	인천광역시	서구	462821	346084	174908	154553	9594	197	3123	79	63	81	224	263	85	130	343300	2784	116737
28710	인천광역시	강화군	63019	48473	17036	29267	988	22	513	23	11	12	34	39	32	32	48009	464	14546
28720	인천광역시	옹진군	18659	14912	5218	8797	304	16	251	13	4	5	11	18	11	15	14663	249	3747
29110	광주광역시	동구	90678	73877	60669	11036	1063	28	389	22	5	16	4	88	12	31	73363	514	16801
29140	광주광역시	서구	248147	202633	170357	26262	2961	68	1127	44	18	29	19	277	34	82	201278	1355	45514
29155	광주광역시	남구	180643	148854	124572	19927	2073	63	811	32	17	19	24	171	40	73	147822	1032	31789
29170	광주광역시	북구	363088	295658	249976	36421	4550	142	1896	65	26	45	34	350	51	104	293660	1998	67430
29200	광주광역시	광산구	326650	264470	224484	30865	4218	133	1915	79	26	31	31	480	51	165	262478	1992	62180
31110	울산광역시	중구	182051	143171	54075	81399	3852	75	1702	44	19	38	156	394	50	65	141869	1302	38880
31140	울산광역시	남구	268213	209589	77783	121304	5251	81	2274	58	34	43	189	444	54	86	207601	1988	58624
31170	울산광역시	동구	127599	98491	44506	47065	3427	64	1597	88	17	30	71	473	32	46	97416	1075	29108
31200	울산광역시	북구	175732	138319	64692	64597	5072	79	1806	67	15	21	113	491	44	53	137050	1269	37413
31710	울산광역시	울주군	188615	145891	56078	81956	3690	76	1855	51	24	53	156	378	54	83	144454	1437	42724
36110	세종특별자치시	세종특별자치시	288895	231832	119349	101491	6780	100	1594	50	23	48	121	181	66	88	229891	1941	57063
41111	경기도	수원시장안구	234723	183882	91842	83470	4755	122	1320	27	27	38	170	188	46	68	182073	1809	50841
41113	경기도	수원시권선구	311536	235055	121028	103154	5754	121	1981	55	42	63	187	218	48	99	232750	2305	76481
41115	경기도	수원시팔달구	161747	119627	58024	56051	3003	63	1046	30	14	24	97	128	28	39	118547	1080	42120
41117	경기도	수원시영통구	295828	239154	114418	114252	6385	131	1216	45	15	46	121	151	40	71	236891	2263	56674
41131	경기도	성남시수정구	207998	161006	86224	68806	3128	57	904	22	19	38	109	318	19	66	159710	1296	46992
41133	경기도	성남시중원구	186278	142368	80857	56072	2799	65	861	28	15	25	94	322	38	69	141245	1123	43910
41135	경기도	성남시분당구	404493	335434	140966	183094	7005	105	1007	45	31	82	229	198	42	81	332885	2549	69059
41150	경기도	의정부시	398960	295029	154851	127348	6788	152	2338	51	33	65	226	592	72	112	292628	2401	103931
41171	경기도	안양시만안구	209083	162812	82650	73147	3901	72	1111	39	17	40	145	134	46	68	161370	1442	46271
41173	경기도	안양시동안구	262895	216629	105221	102552	5574	72	1015	47	25	42	144	115	40	67	214914	1715	46266
41190	경기도	부천시	699678	532995	285227	224331	13249	351	3817	126	76	125	323	515	118	218	528476	4519	166683
41210	경기도	광명시	247357	198669	103470	87112	4746	98	1118	46	24	30	151	138	50	75	197058	1611	48688
41220	경기도	평택시	472732	338768	166032	156630	7988	166	3791	108	47	71	220	525	87	140	335805	2963	133964
41630	경기도	양주시	197345	145562	75236	63800	3162	65	1475	36	20	31	111	287	41	70	144334	1228	51783
41250	경기도	동두천시	81075	57532	28495	26434	1125	26	647	14	11	22	61	141	24	32	57032	500	23543
41271	경기도	안산시상록구	303413	222254	121488	90654	5103	165	2092	60	32	48	152	237	58	106	220195	2059	81159
41273	경기도	안산시단원구	260659	192948	103595	80605	4563	134	1715	55	29	35	136	183	41	84	191175	1773	67711
41281	경기도	고양시덕양구	414210	323033	167037	139914	10643	165	1932	89	46	86	208	340	48	81	320589	2444	91177
41285	경기도	고양시일산동구	256654	197004	96990	91849	5032	90	1120	51	12	53	120	133	24	49	195523	1481	59650
41287	경기도	고양시일산서구	251203	197311	99597	89677	4975	108	1019	43	18	47	130	147	33	63	195857	1454	53892
41290	경기도	과천시	63841	54194	21072	30934	1314	30	228	19	10	20	28	31	7	12	53705	489	9647
41430	경기도	의왕시	139712	113105	54997	53556	2717	52	636	30	22	15	77	84	17	35	112238	867	26607
41310	경기도	구리시	164281	127688	63465	58865	3023	36	878	31	18	32	107	117	28	54	126654	1034	36593
41360	경기도	남양주시	608146	460518	239179	203075	10089	186	3326	100	56	107	322	388	97	156	457081	3437	147628
41370	경기도	오산시	188297	135108	72877	55793	3352	65	1427	38	12	17	74	143	26	58	133882	1226	53189
41590	경기도	화성시	703896	542027	283324	236055	12955	194	4007	100	58	90	223	399	117	177	537699	4328	161869
41390	경기도	시흥시	424723	317197	178462	125544	7082	151	2682	47	51	50	218	285	57	136	314765	2432	107526
41410	경기도	군포시	229884	183089	94891	80277	4593	79	1185	47	24	42	118	120	35	58	181469	1620	46795
41450	경기도	하남시	265087	208858	101106	100088	4624	81	1025	39	27	35	114	156	37	39	207371	1487	56229
41480	경기도	파주시	401260	297278	157155	126763	7176	154	2566	98	45	88	211	342	84	119	294801	2477	103982
41670	경기도	여주시	98077	72566	30695	38731	1458	39	731	19	12	17	74	86	39	49	71950	616	25511
41500	경기도	이천시	187895	137512	63562	67726	2995	68	1354	34	21	36	77	154	47	64	136138	1374	50383
41461	경기도	용인시처인구	220689	162420	80188	75105	3618	78	1532	33	27	44	105	162	46	69	161007	1413	58269
41465	경기도	용인시수지구	304545	250764	113161	128995	5334	81	831	32	34	73	146	98	26	54	248865	1899	53781
41463	경기도	용인시기흥구	361753	289459	143279	135606	6267	93	1477	40	31	75	150	188	37	84	287327	2132	72294
41550	경기도	안성시	162452	117380	56723	54799	2892	87	1238	24	20	30	75	156	25	54	116123	1257	45072
41570	경기도	김포시	391889	302170	153206	136814	6905	114	2175	54	31	73	197	227	79	78	299953	2217	89719
41610	경기도	광주시	327252	244873	130220	105675	4596	99	1891	47	32	56	143	313	51	83	243206	1667	82379
